sample_index,xi_norm2,radius_percentile,occurrence_likelihood,likelihood_rank,opacity_weight,log10_opacity_weight,compliance,compliance_percentile,compliance_z,is_tail_95
86,3.1659042246e+01,2.8265235256e-01,7.1734764744e-01,35,1.3326625534e-03,-2.8752798054e+00,1.6040634753e-01,6.1000000000e-01,2.8306086802e-01,0
87,3.7010636597e+01,5.3141655058e-01,4.6858344942e-01,61,9.1756374773e-05,-4.0373637534e+00,1.6311608417e-01,7.6000000000e-01,6.2940761728e-01,0
88,3.7250804223e+01,5.4246391077e-01,4.5753608923e-01,63,8.1373783528e-05,-4.0895154907e+00,1.6355365667e-01,8.0000000000e-01,6.8533623067e-01,0
89,4.3963341128e+01,7.9956848788e-01,2.0043151212e-01,88,2.8371065126e-06,-5.5471243593e+00,1.6268198187e-01,7.3000000000e-01,5.7392254975e-01,0
90,3.1566921222e+01,2.7864750340e-01,7.2135249660e-01,34,1.3954812990e-03,-2.8552759792e+00,1.6034556656e-01,6.0000000000e-01,2.7529210885e-01,0
91,5.2807578773e+01,9.5558498417e-01,4.4415015833e-02,95,3.4070133680e-08,-7.4676261624e+00,1.5459474941e-01,3.8000000000e-01,-4.5975232170e-01,0
92,3.5704118188e+01,4.7026060382e-01,5.2973939618e-01,56,1.7633686460e-04,-3.7536568856e+00,1.6150358641e-01,6.8000000000e-01,4.2330516838e-01,0
93,5.7815933027e+01,9.8415907435e-01,1.5840925645e-02,97,2.7849892919e-09,-8.5551764703e+00,1.6827749488e-01,9.2000000000e-01,1.2891166807e+00,0
94,3.2223096494e+01,3.0758058651e-01,6.9241941349e-01,40,1.0051650300e-03,-2.9977626291e+00,1.6317828742e-01,7.7000000000e-01,6.3735816609e-01,0
95,4.3660819598e+01,7.9065117000e-01,2.0934883000e-01,87,3.3004059101e-06,-5.4814326439e+00,1.5198027614e-01,2.2000000000e-01,-7.9392292143e-01,0
96,2.8753733349e+01,1.6810576289e-01,8.3189423711e-01,20,5.6963938083e-03,-2.2443999943e+00,1.4627905637e-01,6.0000000000e-02,-1.5226280306e+00,0
97,3.1984629481e+01,2.9695981289e-01,7.0304018711e-01,39,1.1324520567e-03,-2.9459801751e+00,1.6003888139e-01,5.9000000000e-01,2.3609294458e-01,0
98,4.7112866460e+01,8.7674153559e-01,1.2325846441e-01,91,5.8744187906e-07,-6.2310350956e+00,1.5280621684e-01,2.7000000000e-01,-6.8835477421e-01,0
99,3.4953967904e+01,4.3470032410e-01,5.6529967590e-01,53,2.5658790382e-04,-3.5907638212e+00,1.4784577672e-01,7.0000000000e-02,-1.3223766511e+00,0
